Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR25120037,2023-07-22 04:13:11,2023-07-06 08:37:39,44635702,4508205902,0,101,738,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR025/25120/SRR25120037/SRR25120037.1,SRX20871897,RNA-Seq_Roots_replicate_1_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151602,SAMN36278252,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,64EDC936E5045E9D0ADAD5261CC735D7,5BC6C81E697FC580E23B6EDF81D09818
SRR25120051,2023-07-22 04:13:11,2023-07-04 03:38:24,44798444,4524642844,0,101,2616,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120051/SRR25120051.lite.1,SRX20871883,RNA-Seq_Roots_replicate_1_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151602,SAMN36278252,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,8EB705C03127E0988612161A5C469BD2,AFB625AED57AC759A3FA1DF6384D8E02
SRR25120036,2023-07-22 04:13:11,2023-07-07 10:35:24,45451756,4590627356,0,101,729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR025/25120/SRR25120036/SRR25120036.1,SRX20871898,RNA-Seq_Roots_replicate_2_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151604,SAMN36278253,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 2, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,67F2C2802C129E9857CF681CF3B74321,F863A773977E206807B5967C3AADE900
SRR25120050,2023-07-22 04:13:11,2023-07-04 03:37:53,45622719,4607894619,0,101,2629,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120050/SRR25120050.lite.1,SRX20871884,RNA-Seq_Roots_replicate_2_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151604,SAMN36278253,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 2, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,11F87E992C1094A9319E950F84B16291,187ED4E5C6C4E739D278D46856569151
SRR28403745,2024-03-27 10:30:45,2024-03-21 08:28:14,47880685,4835949185,0,101,323,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR028/28403/SRR28403745/SRR28403745.1,SRX24008314,RNA-Seq_Roots_replicate_3_mapping_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804466,SAMN40561218,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 3, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,A69A2C997FB6C6FDDB33414633E31F12,E8CE68FAC5CD3AE9CE4D1B4B95350BD3
SRR28403749,2024-03-27 10:30:45,2024-03-21 04:59:29,48045644,4852610044,0,101,2831,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR028/28403/SRR28403749/SRR28403749.lite.1,SRX24008310,RNA-Seq_Roots_replicate_3_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804466,SAMN40561218,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 3, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,D62B93D1CC77F29ECDE8A1A53A24C60D,2E38A0474343DA99411189F00CDBD1D5
SRR28403748,2024-03-27 10:30:45,2024-03-21 08:26:19,40316088,4071924888,0,101,2248,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR028/28403/SRR28403748/SRR28403748.lite.1,SRX24008311,RNA-Seq_Roots_replicate_4_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804467,SAMN40561219,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 4, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,B9B31A86E54E0101AA2E9DC53C002258,03DBB0B4BBCAFE1E765EADD175C99ACE
SRR28403744,2024-03-27 10:30:45,2024-03-21 08:23:03,40201705,4060372205,0,101,279,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR028/28403/SRR28403744/SRR28403744.1,SRX24008315,RNA-Seq_Roots_replicate_4_mapping_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804467,SAMN40561219,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 4, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,5E449E649417B842FE5C2130AADDEFFA,10DE345BF20FE86E63C3758A5251BA94
SRR25120043,2023-07-22 04:13:11,2023-07-04 03:36:21,44650350,4509685350,0,101,2596,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120043/SRR25120043.lite.1,SRX20871891,RNA-Seq_Shoots_replicate_1_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151603,SAMN36278254,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,0D18AF0665E068B26AFE68ECD6517BB9,ED142105710E0884AB158744E06DC234
SRR25120049,2023-07-22 04:13:11,2023-07-07 14:59:17,44535317,4498067017,0,101,692,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR025/25120/SRR25120049/SRR25120049.1,SRX20871885,RNA-Seq_Shoots_replicate_1_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151603,SAMN36278254,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,A4F5E0EABBF486F02C5EE7FCC0A40BDB,46CC467B8AA0A111A66943AC019552B4
SRR25120048,2023-07-22 04:13:11,2023-07-07 19:58:54,42612863,4303899163,0,101,630,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR025/25120/SRR25120048/SRR25120048.1,SRX20871886,RNA-Seq_Shoots_replicate_2_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151605,SAMN36278255,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 2, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,256BC8F80A64B3F0DFD96D3AE504DF8B,4A9CEA595413495AF55D778634D1F002
SRR25120042,2023-07-22 04:13:11,2023-07-04 03:36:31,42707942,4313502142,0,101,2445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120042/SRR25120042.lite.1,SRX20871892,RNA-Seq_Shoots_replicate_2_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151605,SAMN36278255,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 2, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,D67B26FDA8A63487CA29DDDE30599305,BA41EC6806C8F479A1DE283EEF048DB8
SRR28403747,2024-03-27 10:30:45,2024-03-21 05:00:10,39429288,3982358088,0,101,2325,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR028/28403/SRR28403747/SRR28403747.lite.1,SRX24008312,RNA-Seq_Shoots_replicate_3_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804468,SAMN40561220,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 3, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,1D73878A233A81EB2F2F15C8B99D0AA7,573570BE64FAF74DA32C29F28AD13603
SRR28403743,2024-03-27 10:30:45,2024-03-21 08:25:02,39314067,3970720767,0,101,252,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR028/28403/SRR28403743/SRR28403743.1,SRX24008316,RNA-Seq_Shoots_replicate_3_mapping_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804468,SAMN40561220,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 3, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,1CC4319C24179A29E94C57A1FD5DF5E4,91CB0EAD92D5AC4637108AB53567B3C3
SRR28403742,2024-03-27 10:30:45,2024-03-21 08:28:42,43163378,4359501178,0,101,255,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR028/28403/SRR28403742/SRR28403742.1,SRX24008317,RNA-Seq_Shoots_replicate_4_mapping_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804469,SAMN40561221,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 4, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,A5F07FB338D4393DF86C74AEA253FD52,EDC6BB5D73FD5DC1E9E26B81EFF77722
SRR28403746,2024-03-27 10:30:45,2024-03-21 05:00:30,43249322,4368181522,0,101,2400,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR028/28403/SRR28403746/SRR28403746.lite.1,SRX24008313,RNA-Seq_Shoots_replicate_4_20240311,RNA-Seq,cDNA_randomPriming,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS20804469,SAMN40561221,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 4, 20240311",,,,,,,no,,,,,ACADEMIA SINICA,SRA1830236,,public,94030344B0B30CCBE65344C8FAA1C787,2093BE4F3FA082B4C50C7FB47E998A9E
SRR25120047,2023-07-22 04:13:11,2023-07-04 07:33:30,5392471,156036207,0,28,83,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR025/25120/SRR25120047/SRR25120047.1,SRX20871887,Ribo-Seq_Roots_replicate_1_mapping_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151609,SAMN36278256,simple,3702,Arabidopsis thaliana,"Ribo-Seq Roots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,510793663E06A787D287B1E8A9A4A1CE,020C74AF09FB4A4A62B24E4CE8BDEC68
SRR25120041,2023-07-22 04:13:11,2023-07-04 03:33:41,58082938,1761913463,0,30,1238,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120041/SRR25120041.lite.1,SRX20871893,Ribo-Seq_Roots_replicate_1_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151609,SAMN36278256,simple,3702,Arabidopsis thaliana,"Ribo-Seq Roots replicate 1, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,2C853E3EF7C3344F502CEEC1DBF188F7,799249D907E0A67E96E8700D520B82C4
SRR25120040,2023-07-22 04:13:11,2023-07-04 03:37:52,67623514,2102507479,0,31,1412,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25120/SRR25120040/SRR25120040.lite.1,SRX20871894,Ribo-Seq_Roots_replicate_2_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,,990964,SRS18151606,SAMN36278257,simple,3702,Arabidopsis thaliana,"Ribo-Seq Roots replicate 2, 20230630",,,,,,,no,,,,,ACADEMIA SINICA,SRA1666775,,public,7E91CB041CFEE1A03A5141C117FC6572,D98AF72AE3778E019FFC1CCEEAFCD60C
